Дата;Производство и распределение электроэнергии, газа и воды;Обрабатывающие производства;Добыча полезных ископаемых
2010-12;3416,6;17553,4;6114,5
2010-11;322,1;1689,5;551,2
2010-10;285,3;1600,2;554,6
2010-09;226,5;1591,5;489,6
2010-08;213,0;1466,7;500,4
2010-07;203,8;1460,4;510,4
2010-06;198,2;1486,5;461,2
2010-05;222,0;1379,9;486,7
2010-04;278,9;1350,7;492,7
2010-03;323,9;1320,1;498,3
2010-02;340,5;1075,5;409,9
2010-01;361,9;962,6;440,1
2011-12;3909,3;21893,4;7876,3
2011-11;367,5;1984,8;691,5
2011-10;311,9;1921,1;647,8
2011-09;255,5;1918,3;662,4
2011-08;236,4;1866,1;646,3
2011-07;227,8;1787,5;636,3
2011-06;236,3;1844,6;600,8
2011-05;258,6;1755,2;656,5
2011-04;331,9;1719,1;666,4
2011-03;381,9;1684,1;658,6
2011-02;;;569,6
2011-01;405,2;1337,4;571,0
2012-12;3996;24323;8739
2012-11;382,1;2146,3;730,4
2012-10;332,9;2100,1;739,4
2012-09;269,3;2052.9;770,0
2012-08;248,4;2046,6;808,8
2012-07;243,5;;692,0
2012-06;237,1;2009,1;613,9
2012-05;255,9;1913,6;668,2
2012-04;317,3;1882,5;704,9
2012-03;378,6;1909,1;795,3
2012-02;401,8;1670,1;710,4
2012-01;401,6;1508,3;714,6
2013-12;4284,2;25993,2;9915,9
2013-11;409,0;2398,2;859,3
2013-10;375,9;2261,3;858,3
2013-09;289,5;2270,9;904,8
2013-08;269,8;2255,1;903,2
2013-07;260,1;2180,4;841,3
2013-06;246,7;2105,8;775,9
2013-05;273,9;2035,9;742,4
2013-04;351,0;1988,8;739,2
2013-03;418,8;2038,1;776,0
2013-02;432,6;1 855,8;734,8
2013-01;459,6;1762,8;794,3
